Computational complexity theory,Analysis of algorithms,Big O notation,Total order,Sorting algorithm,Quicksort,Time complexity,Space complexity,Array data structure,Bubble sort,Insertion sort,Merge sort,Heapsort,Selection sort,Shellsort,Radix sort,Gnome sort,y
559,415,3322,345,1548,2183,1461,83,1016,1463,1543,1651,585,950,325,591,132,388
628,438,3275,355,1575,2249,1437,117,1035,1449,1607,1828,609,833,282,590,124,311
638,397,3451,353,1604,2147,1401,97,1226,1475,1696,1777,663,943,304,563,92,325
578,365,3450,318,1569,2200,1347,71,1111,1461,1489,1823,645,833,254,604,81,289
497,331,2929,334,1448,1875,1312,87,854,1156,1197,1265,593,662,264,480,67,249
554,244,1997,201,989,1336,854,73,706,798,856,938,449,463,156,348,43,185
465,287,2440,238,1027,1444,935,69,783,920,1028,1146,487,608,166,393,43,200
601,331,3462,365,1823,2228,1401,103,1078,1345,1540,1724,683,820,264,583,88,335
623,388,3333,419,1550,2277,1354,112,1093,1343,1608,1783,722,877,280,598,74,334
645,404,3517,381,1552,2267,1402,101,1059,1373,1534,1813,702,860,261,588,74,329
681,317,3379,388,1555,2356,1444,106,1041,1391,1383,1643,702,672,218,1530,81,326
525,271,2965,338,1324,2151,1195,83,824,1145,1204,1361,656,555,232,1145,64,246
428,221,2061,224,916,1331,881,71,746,787,922,1016,433,505,166,367,55,156
477,247,2182,278,1096,1540,985,73,771,947,995,1133,482,515,192,383,56,191
588,330,2943,347,1541,2148,1341,112,1067,1391,1540,1532,662,821,278,573,94,291
603,386,3213,395,1659,2323,1367,90,964,1547,1490,1775,731,848,243,651,83,355
550,319,3115,412,1728,2491,1505,95,1063,1512,1487,1872,774,833,302,561,87,347
557,350,3100,364,1693,2362,1331,97,952,1419,1656,1798,774,871,359,554,93,358
483,273,2666,322,1254,1791,1125,78,891,1116,1197,1404,598,721,292,444,85,287
379,238,1853,252,903,1313,865,57,681,805,874,1015,477,496,150,339,43,201
429,322,2053,299,1100,1594,1021,77,741,950,1056,1237,588,571,217,451,29,313
568,344,3106,411,1524,2379,1373,66,1025,1434,1550,1717,822,885,316,568,71,366
540,344,3444,388,1471,2339,1367,95,1071,1555,1609,1743,793,840,321,615,48,337
581,419,3275,362,1579,2380,1339,82,982,1458,1601,1924,844,870,345,603,62,502
552,388,3106,443,1527,2275,1257,86,1029,2081,1604,1682,770,812,378,658,78,372
494,314,2625,312,1383,1810,1150,85,941,1073,1249,1330,654,596,241,501,55,265
436,254,1783,230,1067,1387,937,62,722,743,906,1049,477,403,146,356,35,251
404,257,2050,315,995,1468,902,66,762,862,1048,1131,529,714,169,378,49,366
489,331,2900,381,1495,2258,1371,86,1073,1336,1321,1675,716,760,228,527,85,339
487,307,3111,373,1649,2330,1369,82,1086,1422,1433,1671,762,767,277,588,107,370
512,335,3050,376,1581,2240,1395,100,941,1390,1458,1892,774,736,266,598,103,347
582,325,3127,374,1634,2241,1392,109,1011,1303,1422,1741,730,811,302,562,82,333
531,297,2548,335,1367,1896,1259,75,899,1186,1184,1443,673,611,269,495,75,274
403,210,1766,248,945,1362,888,73,662,833,792,1069,475,494,193,362,62,176
400,251,2008,263,1105,1447,972,53,637,857,817,1085,501,507,189,370,59,202
545,342,2712,336,1517,2007,1262,85,880,1228,1205,1506,735,672,273,562,73,324
506,310,2735,323,1496,2081,1272,92,946,1284,1302,1442,724,685,272,533,117,290
569,325,2926,420,1493,2081,1363,80,907,1406,1349,1480,660,748,294,613,85,337
485,316,2662,315,1451,1991,1233,92,890,1190,1109,1295,650,555,242,462,70,291
422,261,2341,267,1234,1788,1036,67,798,991,1000,1124,574,438,220,411,60,199
366,242,1672,241,864,1112,844,52,589,690,678,810,441,332,150,311,83,170
373,239,1898,253,905,1241,846,57,565,769,684,980,475,384,189,372,63,195
403,244,2297,255,1347,1613,945,64,722,1209,965,1251,534,533,187,479,112,468
468,276,2353,273,1248,1600,994,54,746,1081,818,1202,560,498,193,472,116,391
418,242,2360,291,1306,1634,1122,74,808,1001,917,1074,610,524,189,494,111,220
425,273,2358,287,1443,1477,1074,89,715,933,812,1124,599,506,180,547,140,203
398,261,2261,248,1426,1593,962,53,719,946,882,1206,577,550,257,551,194,230
406,239,1935,237,1443,1259,779,48,595,709,741,887,423,452,194,520,209,206
383,299,1888,261,1508,1436,1027,66,560,833,814,978,560,430,224,588,265,230
523,300,2442,308,1593,1662,1143,75,804,958,845,1211,588,556,258,614,216,243
538,318,2488,284,1587,1763,1101,102,808,1082,966,1206,552,554,232,641,197,229
522,310,2428,318,1462,1768,1105,88,737,1060,986,1181,554,587,244,529,126,261
511,281,2594,353,1425,1759,1210,82,989,1096,1033,1229,584,591,271,544,137,245
473,299,2427,317,1333,1577,1087,92,695,1029,941,1150,575,547,225,428,119,276
420,253,2012,238,1113,1280,902,68,615,840,769,947,475,413,207,588,113,223
477,268,2264,266,1281,1407,1038,89,630,961,854,1087,502,475,202,523,107,216
458,297,2696,371,1496,1696,1127,62,858,1225,1102,1285,676,573,223,530,118,260
509,281,2674,447,1385,1807,1146,92,916,1692,1173,1270,611,651,230,582,94,270
515,275,2852,386,1531,1826,1483,71,844,1230,1235,1489,714,660,426,599,88,247
552,328,2772,325,1437,1648,1351,97,928,1258,1090,1291,583,641,301,558,78,256
519,387,2791,320,1294,1632,1178,88,841,1086,1023,1293,527,527,266,529,85,249
600,443,2229,290,1088,1297,1256,74,674,837,869,987,483,479,243,487,58,218
513,451,2307,327,1116,1415,1117,93,624,899,862,1154,524,469,219,419,54,215
542,344,2888,366,1389,1807,1273,76,904,1023,1209,1301,565,635,309,627,48,292
631,332,2991,387,1318,1698,1331,94,822,1113,1117,1342,591,595,292,534,58,265
559,397,3050,376,1561,1874,1254,84,938,1120,1181,1486,658,620,301,630,66,269
485,269,2900,375,1338,1709,1323,93,851,1012,1075,1308,615,627,273,639,82,305
725,460,2599,347,1257,1459,1210,81,866,942,984,1199,491,561,219,589,54,284
479,303,2139,246,1103,1318,974,72,654,892,918,1057,425,480,178,515,70,240
443,256,2136,317,1038,1494,1054,75,644,1022,874,1097,601,501,190,394,61,252
556,317,2730,384,1339,1670,1427,96,786,1070,1069,1334,678,591,218,504,71,303
580,331,2980,465,1444,1798,1444,84,877,1197,1211,1443,602,714,301,476,70,316
565,319,2934,362,1450,1960,1337,105,891,1094,1250,1517,678,656,320,461,77,289
649,348,3041,379,1712,1884,1364,108,857,1169,1194,1501,630,744,285,513,74,274
576,276,3016,394,1492,1850,1313,90,777,1172,1150,1418,724,694,250,383,88,258
471,280,2366,289,1190,1447,1081,81,725,906,974,1092,526,569,257,384,65,301
533,258,2291,314,1221,1719,1135,84,733,921,967,1125,627,582,311,460,48,345
612,381,3171,395,1518,1933,1527,99,900,1160,1179,1544,881,753,279,543,79,284
611,309,3126,337,1557,1935,1505,86,956,1346,1229,1470,714,728,216,486,87,312
580,371,3168,448,1559,2008,1584,87,953,1312,1211,1662,854,683,250,486,62,358
593,326,3038,378,1494,2031,1448,70,1327,1376,1310,1502,757,661,268,535,74,339
615,323,2890,398,1355,1854,1282,101,981,1295,1086,1392,628,599,235,411,84,270
614,274,2250,311,1197,1517,1065,91,820,1041,858,1074,537,532,193,366,64,232
589,276,2398,337,1121,1447,1139,118,805,1117,1006,1227,494,622,244,354,43,235
654,310,2846,406,1598,1987,1495,166,930,1403,1354,1511,754,899,303,883,66,429
678,314,3095,391,1470,2004,1446,124,1014,2706,1401,1440,686,872,251,588,66,307
599,294,3267,394,1512,1975,1497,137,1046,1353,1368,1512,711,788,279,599,78,279
534,285,3081,356,1269,1758,1376,152,1272,1244,1242,1515,650,798,250,424,66,279
478,290,2558,333,1358,1639,1291,116,750,1156,1107,1332,564,609,211,495,69,249
430,240,2217,257,1189,1347,1084,134,737,899,873,1124,623,501,233,441,63,196
455,211,2298,313,1246,1606,1058,150,619,971,930,1182,589,558,208,530,90,240
614,352,3124,373,1629,1997,1455,123,855,1353,1238,1536,703,804,264,580,73,342
582,323,3053,375,1630,2071,1408,140,878,1323,1234,1637,772,721,331,615,88,350
569,327,3132,524,1724,2252,1599,221,920,1392,1209,1584,779,812,298,549,79,239
555,314,3029,402,1653,2027,1457,209,844,1405,1200,1694,690,862,335,634,65,319
483,320,2619,421,1495,1772,1261,147,756,1101,1011,1384,711,699,254,598,63,285
418,214,2089,329,1256,1507,1068,149,583,886,884,1204,527,554,214,621,59,212
423,221,2165,297,1274,1563,1034,131,641,1177,1026,1280,554,637,276,453,61,269
562,318,2955,372,1627,2010,1528,145,1081,1650,1263,1912,829,1163,265,517,72,290
574,360,3020,423,1624,2018,1481,145,924,1379,1307,1611,703,958,265,530,88,289
523,311,2808,388,1678,2235,1474,127,955,1385,1327,1548,668,687,245,682,89,406
541,300,3043,384,1740,2233,1496,110,876,1818,1326,1874,829,786,300,675,87,311
496,248,2640,306,1562,1924,1281,122,817,1144,1079,1397,617,665,227,567,84,225
380,208,2095,231,1192,1555,1079,127,570,983,836,1106,514,540,206,504,44,232
465,258,1946,299,1224,1816,978,109,573,885,860,1025,489,483,203,494,74,234
497,265,2638,365,1463,2046,1347,128,710,1176,1017,1397,627,761,287,535,73,297
516,256,2936,337,1440,1962,1386,116,771,1246,977,1521,675,673,268,498,88,308
489,261,2584,335,1467,1876,1183,111,730,1210,1117,1388,632,625,243,521,61,237
496,268,2517,314,1402,1749,1260,122,750,1210,984,1367,646,626,231,495,59,251
481,241,2489,301,1360,1652,1195,94,734,1206,1079,1272,611,607,199,541,73,357
395,183,1870,224,1118,1309,950,115,610,910,789,995,504,451,163,385,66,291
405,229,1987,268,1100,1525,1014,92,515,859,871,1047,560,483,212,369,58,220
477,248,2405,336,1413,1769,1171,106,623,1100,975,1269,613,589,219,510,64,326
505,290,2606,350,1369,1782,1361,109,806,1070,1086,1330,634,610,195,419,83,281
416,305,2561,306,1390,1724,1311,130,838,1177,1023,1411,601,671,257,506,65,315
502,349,2664,332,1293,1803,1526,97,670,1054,1138,1338,653,673,270,511,69,299
456,258,2385,279,1293,1749,1639,107,640,1035,1039,1320,573,501,194,446,49,251
371,218,1800,235,987,1470,1014,86,638,830,639,1042,444,401,195,380,37,243
401,201,1747,224,1033,1502,962,91,581,896,791,980,480,459,308,403,53,252
438,276,2335,305,1182,1868,1207,108,702,1161,1022,1390,606,530,275,472,63,275
474,265,2586,314,1400,2019,1293,104,755,1111,1053,1404,583,627,235,441,50,292
508,295,2590,298,1435,2014,1331,100,822,1278,1017,1533,635,669,243,511,75,319
501,403,2554,295,1487,2016,1366,95,780,1245,971,1386,677,584,252,470,54,284
440,280,2147,243,1275,1679,1261,120,710,956,979,1234,600,580,218,370,51,228
358,243,1687,256,1101,1530,943,87,629,897,843,1062,546,441,230,354,50,238
419,249,1965,229,1173,1583,1004,90,653,904,812,1126,535,433,212,391,52,213
495,366,2471,337,1331,1858,1313,169,679,1101,910,1322,668,543,317,462,58,263
455,361,2587,369,1409,1998,1317,171,872,1179,1190,1475,676,665,297,807,72,346
446,288,2641,296,1359,1818,1298,159,836,1309,1060,1388,629,615,213,505,53,302
470,278,2627,257,1646,2097,1215,160,711,1191,1094,1403,700,676,233,560,56,314
355,292,2235,262,1259,1780,1234,119,624,1130,940,1203,579,567,222,466,47,264
314,181,1747,229,1024,1452,905,104,560,821,841,959,520,451,182,316,62,247
335,204,1730,263,1086,1599,863,112,540,901,897,978,469,552,197,346,45,255
421,260,2430,308,1351,1930,1245,139,726,1166,1010,1316,632,710,292,479,43,272
406,253,2433,272,1391,1817,1166,195,855,1153,997,1216,735,645,247,451,49,264
411,291,2426,323,1348,1758,1208,164,740,1216,962,1261,618,590,350,485,61,227
427,229,2326,347,1418,1832,1179,139,706,1093,930,1208,593,612,247,548,56,265
365,197,1948,248,1196,1507,1021,107,617,1001,832,1034,530,498,215,418,55,209
358,260,1614,212,945,1261,939,123,542,818,707,825,393,472,202,356,33,176
335,212,1681,232,922,1298,891,158,489,920,696,926,462,429,158,375,40,142
405,323,2295,290,1229,1854,1250,111,675,1064,905,1244,549,586,289,391,49,229
420,315,2345,266,1137,1823,1190,175,699,1209,921,1333,608,588,230,421,41,304
382,253,2346,262,1327,1762,1119,92,625,1149,944,1272,668,546,238,443,47,212
389,223,2199,245,1251,1776,1086,158,756,1131,1093,1255,622,682,259,394,51,252
774,210,2054,250,1175,1599,1074,96,651,962,814,1124,520,574,209,403,43,371
326,255,1578,223,1045,1318,827,100,572,734,705,953,564,401,202,342,36,330
326,191,1595,230,930,1300,842,102,574,819,769,915,443,474,247,347,30,245
427,267,2377,258,1249,1768,1085,137,718,1033,1005,1192,539,517,240,464,42,225
435,255,2217,261,1152,1570,1025,99,627,921,849,1081,450,476,238,410,37,230
386,265,2133,315,1075,1618,1030,111,695,977,778,1094,485,408,178,345,60,241
362,234,1943,223,1144,1572,999,75,670,935,770,1067,437,406,170,285,36,197
354,196,1742,261,965,1228,951,111,628,807,765,862,359,437,184,352,35,233
285,197,1569,202,726,984,676,106,564,687,534,640,305,321,168,258,32,157
347,181,1379,206,832,1092,714,75,532,778,569,691,374,582,161,258,25,132
416,268,2101,294,1162,1516,988,79,750,954,835,1226,532,432,240,338,34,229
422,248,2090,291,1160,1554,1004,90,822,876,742,917,497,451,271,354,26,178
371,222,2122,268,1342,1594,1047,111,720,936,883,976,510,493,317,368,41,160
364,277,2213,239,1185,1442,1047,71,781,896,1156,980,475,499,254,320,32,198
383,220,1959,181,1083,1458,973,98,724,896,726,833,430,412,237,437,47,277
320,221,1383,211,834,1145,682,72,608,690,661,693,344,318,157,340,41,154
329,189,1565,245,836,1260,816,114,510,734,789,854,430,405,251,564,26,219
402,274,1981,254,1139,1620,1128,106,802,1038,786,1025,526,473,244,485,26,228
426,316,2151,249,1180,1577,1014,112,829,1068,855,1031,480,572,201,464,35,210
445,297,2193,281,1217,1670,1103,114,1324,1125,911,1081,567,539,180,576,37,271
458,247,2017,254,1233,1753,1048,98,1197,1007,806,1158,557,492,196,604,54,207
390,206,1897,195,1081,1545,982,116,701,871,739,1075,505,459,190,533,39,249
360,217,1448,155,901,1286,767,58,887,686,553,788,385,334,158,399,54,168
662,147,1498,193,956,1222,802,70,548,741,642,940,444,417,156,417,49,153
531,237,2107,256,1307,1724,1046,119,699,1041,836,1154,521,538,223,607,41,204
443,264,2140,220,1287,1973,1003,94,711,999,913,1269,528,554,165,477,49,219
438,247,2054,285,1098,1670,1043,155,807,855,748,1119,492,494,235,429,62,226
485,279,2098,273,1113,1572,971,112,779,962,777,1067,593,435,180,359,52,258
364,210,1848,232,984,1458,989,112,676,868,745,929,408,399,166,377,48,214
381,230,1356,218,1334,1576,806,98,504,867,803,1054,453,352,174,655,67,205
432,182,1528,249,1170,1440,801,73,524,1442,714,1109,433,420,136,470,93,180
462,214,2081,265,1141,1691,1056,122,784,1102,847,1074,477,417,190,421,76,202
411,262,2016,255,1127,1588,1027,127,808,994,789,1173,583,492,175,385,42,183
446,243,2025,243,975,1441,990,173,696,942,814,992,503,541,194,372,44,162
392,268,2064,238,1048,1659,1001,94,628,865,763,1145,531,537,176,337,48,190
394,176,1790,235,889,1307,897,66,507,812,636,981,375,398,214,339,50,180
344,222,1343,199,761,1108,673,71,484,617,611,756,322,359,143,345,36,140
334,252,1576,240,928,1425,1029,90,385,986,805,796,376,406,166,352,34,161
376,222,1963,216,1036,1355,921,113,533,804,693,928,465,415,173,377,58,199
426,269,2093,282,1166,1537,1056,119,655,941,771,946,442,505,198,406,53,162
531,236,2026,230,1115,1517,1099,151,769,935,760,1009,460,565,217,420,58,179
439,236,2054,228,1088,1624,1192,96,668,897,726,1041,486,466,175,450,55,192
432,236,1933,272,1134,1586,922,171,671,840,852,1104,489,504,183,437,66,213
329,257,1377,183,943,1272,734,110,569,760,740,750,437,394,202,385,58,147
342,205,1421,212,872,1233,776,135,533,716,676,878,437,725,171,326,71,133
402,351,2058,254,1176,3241,1047,149,867,1071,919,1184,579,549,222,448,77,211
402,267,2193,246,1320,2032,1094,165,894,972,843,1135,515,523,280,494,70,270
408,279,2222,266,1249,1767,1157,160,736,1042,859,1335,524,487,246,463,71,187
425,292,2188,253,1186,1833,1116,169,791,1117,934,1288,479,572,179,470,63,207
359,248,2068,256,1022,1591,1062,163,649,901,777,939,418,461,152,357,54,190
394,185,1417,182,923,1162,920,118,533,778,659,808,356,374,170,324,46,148
438,232,1600,209,950,1279,888,157,522,756,694,864,432,420,150,347,44,161
531,270,2202,221,1128,1505,1114,169,818,1053,843,982,439,512,151,350,60,201
442,349,2087,246,1189,1569,1178,163,1048,1094,872,1125,465,525,203,417,56,185
445,326,2209,256,1157,1618,1118,209,862,970,906,1018,472,529,148,364,36,168
433,273,2305,247,1177,1617,1169,173,827,1121,915,1059,503,612,166,385,42,203
451,321,2085,255,1078,1448,1114,162,740,937,790,1004,427,577,144,360,53,153
353,194,1491,239,861,1063,818,120,562,773,649,754,314,449,137,297,35,125
356,227,1688,234,849,1267,889,110,653,840,706,796,413,434,147,359,53,183
461,299,2322,246,1183,1568,1208,171,926,1098,918,1093,440,561,183,451,59,207
481,278,2373,282,1362,1806,1189,194,892,1125,960,1154,510,600,234,452,51,232
413,291,2505,313,1308,1599,1207,161,908,1193,925,1143,510,654,191,483,39,191
452,280,2726,323,1316,1612,1236,182,934,1105,881,1219,466,630,190,458,52,205
451,284,2315,270,1241,1447,1113,154,755,1117,927,1284,479,559,209,498,47,214
384,255,1688,201,922,1280,822,95,703,933,733,895,390,548,154,354,46,165
373,290,1988,241,914,1328,933,130,608,856,727,874,405,462,198,338,44,143
452,314,2576,293,1216,1702,1240,130,901,1192,1036,1172,550,667,209,370,45,190
483,313,2939,337,1399,1696,1382,180,963,1362,1019,1215,516,624,229,378,48,208
448,304,2962,366,1419,1921,1394,194,948,1232,1002,1425,521,690,208,368,49,339
409,334,3096,378,1421,1722,1328,177,933,1167,979,1336,525,642,188,428,33,302
412,292,2582,326,1234,1642,1292,155,861,1052,938,1188,447,662,166,370,44,183
358,224,1887,248,894,1256,910,98,667,707,635,951,395,411,163,305,40,187
352,250,2234,246,953,1427,1048,139,668,848,823,1069,419,516,198,298,43,173
502,354,3287,345,1358,1823,1361,215,930,1292,1164,1384,559,734,241,439,49,257
468,313,3199,338,1365,1886,1455,188,1018,1467,1311,1453,543,696,235,596,61,209
507,323,3228,358,1495,1925,1485,186,981,1442,1293,1413,613,820,220,753,49,280
474,390,3294,341,1420,2038,1550,230,963,1420,1299,1505,621,886,309,1107,68,265
487,320,2973,368,1274,1675,1429,202,969,1362,1128,1318,539,680,197,1124,46,274
331,313,2273,265,1141,1502,1000,116,759,974,911,1060,420,516,197,1025,51,188
380,289,2195,304,1146,1418,1152,163,698,1045,1061,1137,491,668,217,933,40,231
462,446,3325,386,1642,2108,1569,179,1110,1482,1453,1671,631,954,323,1095,50,298
505,429,3515,377,1595,2322,1665,195,1198,1590,1592,1744,666,881,318,1052,55,331
542,388,3515,392,1474,2344,1591,197,1031,1630,1771,1700,589,943,313,1128,52,317
465,361,3362,370,1332,2261,1435,207,968,1528,1625,1774,624,768,302,1018,68,294
494,369,3060,317,1387,2156,1399,192,975,1341,1329,1434,592,733,270,704,40,236
371,285,2152,256,1112,1622,1025,119,874,1257,1473,1194,457,612,249,490,45,238
426,254,2339,265,1153,1846,1097,142,765,1086,1192,1360,544,738,306,558,41,256
550,448,3618,406,1608,2447,1653,190,1169,1619,1722,2043,782,932,532,748,553,537
538,470,3645,457,1538,2429,1637,213,1135,1608,1638,1853,834,1103,425,845,1592,481
528,504,3671,439,1546,2652,1748,227,1165,1436,1633,1748,858,963,406,819,140,341
458,497,3368,424,1440,2459,1528,221,1174,1638,1605,1854,685,940,281,754,80,433
522,330,2883,383,1391,2100,1410,216,1055,1282,1263,1543,668,844,235,739,118,324
382,349,2140,285,997,1569,1157,96,752,1162,1077,1234,463,567,197,466,128,265
419,294,2577,249,1150,1827,1289,131,713,1050,1124,1312,517,587,228,530,57,416
544,546,3540,394,1477,2400,1631,184,1010,1460,1544,1707,809,886,327,634,87,323
526,423,3436,411,1738,2570,1655,145,1093,1523,1569,1909,678,854,313,757,90,416
458,436,3376,399,1532,2612,1734,156,1228,1671,1534,1776,738,920,300,683,110,297
513,447,3182,387,1340,2178,1615,179,883,1322,1394,1572,607,734,291,634,82,324
452,317,2899,358,1305,1697,1362,133,731,1138,1279,1382,590,702,317,567,85,240
419,248,2105,315,1193,1522,994,93,705,914,1033,1124,440,542,230,479,87,214
357,248,2362,305,1034,1554,1004,97,603,1030,1028,1212,536,635,315,538,81,216
487,396,3341,458,1421,2379,1631,150,1073,1506,1538,1738,752,921,339,602,149,265
433,336,3412,422,1465,2307,1447,155,1150,1603,1613,1790,859,821,264,602,127,281
482,482,3959,457,1918,2727,1843,153,1385,1657,1791,1891,856,1032,357,653,114,346
482,401,3979,437,1764,2507,1595,139,1384,1731,1578,1887,856,1038,290,635,106,311
453,401,3668,370,1501,2189,1515,124,1055,1402,1365,1502,738,743,315,543,59,337
365,293,2657,290,1158,1714,1159,115,889,1086,992,1255,659,690,211,493,61,205
457,298,2658,361,1157,1750,1175,145,848,1135,1092,1240,552,700,209,528,52,274
656,456,4221,392,1680,2799,1681,166,1241,1677,1632,1762,865,1078,301,774,76,390
618,367,3941,443,1954,3053,1910,288,1366,1953,1714,2193,1005,1000,392,853,90,381
521,461,3899,441,1835,2614,1680,140,1386,1723,1709,1914,858,1048,316,729,57,351
547,354,3840,403,1739,2725,1681,193,1215,1555,1500,1749,743,912,235,576,52,301
537,347,3429,372,1516,2237,1438,146,1130,1417,1449,1595,679,901,258,609,65,270
482,348,2505,311,1208,1816,1041,95,875,1054,1459,1123,543,659,213,478,43,197
473,255,2664,357,1271,2055,1176,98,924,1211,1079,1305,705,734,239,479,57,240
574,413,4039,478,1943,2734,1600,141,1434,1687,1664,1926,915,1151,375,676,52,349
693,457,4146,459,1792,2672,1637,218,1662,1744,1638,1913,886,920,320,751,60,289
545,375,3847,439,1847,2596,1743,164,1461,1750,1700,2035,884,928,370,758,59,337
610,356,3708,417,1953,2596,1641,154,1203,1529,1565,1776,850,1126,344,727,79,304
517,384,3542,388,1703,2197,1403,115,1100,1459,1367,1599,717,902,247,696,67,323
409,243,2324,273,1180,1735,1101,81,818,1184,1138,1159,568,716,265,425,68,193
374,226,2690,343,1189,1812,1223,126,720,1162,1130,1299,622,671,324,456,65,203
465,354,3814,453,1775,2522,1609,128,1104,1715,1530,1737,894,1024,355,605,53,369
455,408,3625,390,1801,2517,1478,115,1210,1791,1622,1836,837,1054,350,615,69,358
522,455,3938,393,1788,2507,1499,158,1115,1632,1586,1794,863,939,335,684,80,326
491,353,3814,404,1725,2411,1422,111,1212,1504,1498,1833,850,988,355,711,72,335
479,276,3203,395,1574,2284,1472,140,919,1262,1302,1706,674,776,308,647,59,296
362,262,2162,243,1152,1480,1102,129,1059,1127,953,1267,595,616,307,381,40,228
410,275,2482,360,1122,1589,1059,100,775,1169,1049,1295,592,575,281,487,38,199
669,428,3812,438,1903,2586,1659,150,1208,1793,1801,2007,784,1123,349,649,63,289
552,400,3863,357,1908,2510,1687,143,1416,1855,1909,1790,809,1027,363,755,43,337
508,314,3592,333,1677,2485,1495,121,1243,1639,1646,1691,751,928,285,600,68,250
522,375,3632,459,1674,2464,1409,123,1319,1846,1672,1940,818,999,324,625,58,374
433,384,3215,382,1464,2100,1411,98,1011,1534,1710,1752,693,850,364,505,65,312
368,234,2476,268,1121,1550,1023,93,872,1003,1034,1230,581,641,224,362,47,272
397,238,2575,274,1225,1740,1130,124,770,1103,1130,1318,624,733,255,565,38,321
507,342,3896,432,1798,2565,1458,154,1132,1720,1716,1877,863,962,494,744,66,360
522,413,3860,407,2041,2696,1650,172,1306,1721,1588,1815,968,1073,394,575,73,306
501,321,3509,365,1841,2483,1497,124,1249,1665,1661,1739,728,937,451,608,94,319
414,330,3774,356,1936,2519,1651,154,1227,1637,1552,1843,866,1016,374,533,81,282
441,301,3039,432,1578,2207,1260,136,941,1451,1430,1454,645,865,255,514,76,234
358,212,2043,300,1157,1401,930,99,557,961,1003,1251,574,650,310,435,41,160
362,271,2558,318,1411,1845,1116,125,764,1178,1256,1420,548,828,464,570,49,201
550,333,3508,396,1814,2657,1455,171,1072,1710,1559,1916,867,950,511,645,71,283
545,420,3670,373,1805,2648,1446,106,1218,1736,1718,2006,846,906,548,645,75,369
565,416,3549,426,2037,2525,1513,146,1182,1718,1776,2323,1105,1055,349,864,85,420
516,379,3704,428,1921,2528,1498,132,1246,1608,1567,1921,990,1017,337,769,126,458
500,323,3263,416,1979,2437,1337,133,1174,1565,1497,1862,885,1028,337,649,88,423
425,301,2437,378,1466,1839,1089,96,1002,1489,1361,1491,687,741,266,578,80,233
394,324,2742,320,1610,1942,1137,106,975,1340,1325,1489,789,805,254,639,76,273
577,417,3506,416,2061,2730,1613,172,1449,2101,1982,1988,1065,1140,313,688,77,378
559,375,3414,389,2145,2873,1647,138,1375,2037,2030,2003,1266,1622,420,598,89,407
457,323,3179,375,1984,2359,1419,144,1564,1747,1919,1824,820,901,334,691,74,422
448,372,3025,350,1797,2338,1417,135,1303,1627,1797,1700,870,1012,338,667,97,301
454,354,2741,310,1716,1965,1168,77,1060,1456,1497,1484,753,874,276,481,86,282
419,274,2339,324,1570,1904,1348,100,975,1288,1555,1118,702,773,239,480,73,206
408,250,2471,337,1409,1743,1052,109,870,1364,1419,1332,679,665,280,507,92,315
507,313,3386,359,1880,2231,1424,140,1240,1768,1979,1851,887,1092,407,711,177,384
560,383,4101,386,2120,2780,1830,169,1343,2072,2010,1935,937,1219,386,773,91,349
506,307,4065,410,2230,2874,1622,145,1543,1882,1737,2069,1017,1080,362,690,103,343
492,423,3672,443,2044,2744,1716,131,1494,1670,1676,1881,815,1049,320,649,101,404
475,375,3172,360,1696,2325,1368,154,1324,1563,1469,1689,756,919,306,637,113,352
481,258,2719,296,1344,1975,1115,136,943,1156,1079,1386,596,639,261,462,81,217
465,282,2494,333,1457,2091,1279,109,993,1141,1184,1366,678,656,282,413,59,273
551,451,3806,426,2243,2756,1691,162,1347,1739,1702,1886,1032,1072,381,817,122,355
499,378,3356,383,2034,2496,1689,165,1390,1742,1585,1936,1005,1118,367,692,84,361
493,389,3614,366,1973,2819,1676,151,1369,1689,1615,1798,996,1074,317,603,70,336
517,323,3452,301,1922,2525,1642,140,1243,1627,1615,1718,1048,942,302,740,93,350
519,451,3336,296,1809,2254,1741,174,1353,1425,1602,1663,921,1133,283,632,85,343
434,287,2402,270,1388,1723,1177,107,960,1083,1085,1273,662,776,324,456,87,253
609,264,2566,324,1296,1884,1316,126,874,1072,1166,1315,719,884,283,511,116,250
499,373,3724,363,2339,2488,1706,174,1338,1679,1528,1961,977,1094,467,721,124,347
556,343,3892,325,2223,2727,1777,175,1422,1696,1699,1932,892,1180,378,768,139,366
529,408,3515,403,2167,2498,1697,153,1350,1798,1856,1784,874,1187,403,871,117,374
479,394,4002,418,1917,2490,1754,238,1344,1711,1559,1710,835,928,344,906,103,328
422,314,2674,305,1593,2039,1449,170,1167,1231,1270,1671,676,790,249,559,75,260
373,370,2032,274,1245,1518,1191,110,922,999,964,1227,474,654,225,363,66,140
376,224,1859,237,1335,1271,1007,112,736,970,922,1069,486,560,241,407,106,202
429,391,2507,287,1635,1916,1231,152,1349,1285,1118,1493,663,730,277,586,144,274
404,281,2207,295,1570,1810,1113,142,1120,1089,1070,1263,629,736,258,538,113,254
436,259,2053,237,1300,1623,1036,133,1142,1014,1137,1048,537,618,214,492,82,287
430,335,1780,188,1099,1361,947,125,1011,801,729,884,460,531,217,420,104,137
319,157,1338,179,889,852,631,70,559,537,483,532,288,307,134,330,105,118
331,194,1583,193,1215,1048,800,93,858,754,703,779,404,400,222,425,117,169
